policy_id,car_id,company,start_date,end_date,cost
47,447,Росгосстрах,2025-09-19 06:17:21,2026-09-19 06:17:21,13319
48,145,РЕСО-Гарантия,2025-11-28 16:49:14,2026-11-28 16:49:14,11636
49,568,РЕСО-Гарантия,2024-12-18 01:56:50,2025-12-18 01:56:50,23862
50,568,Т-Страхование,2025-12-18 01:56:50,2026-12-18 01:56:50,23854
51,761,ВСК,2025-06-26 11:12:45,2026-06-26 11:12:45,15245
52,734,Т-Страхование,2025-12-29 10:04:10,2026-12-29 10:04:10,12555
53,370,Т-Страхование,2026-01-12 15:44:50,2027-01-12 15:44:50,23713
54,350,Ингосстрах,2025-09-12 19:00:31,2026-09-12 19:00:31,11730
55,1100,ВСК,2025-08-27 09:52:48,2026-08-27 09:52:48,14040
56,852,РЕСО-Гарантия,2026-04-19 17:25:42,2027-04-19 17:25:42,17188
57,46,ВСК,2025-04-18 22:48:11,2026-04-18 22:48:11,16500
58,46,Т-Страхование,2026-04-18 22:48:11,2027-04-18 22:48:11,6206
59,449,АльфаСтрахование,2026-04-26 14:11:09,2027-04-26 14:11:09,9102
60,1110,Росгосстрах,2024-04-13 06:57:13,2025-04-13 06:57:13,14069
61,1110,Росгосстрах,2025-04-13 06:57:13,2026-04-13 06:57:13,18547
62,1110,Т-Страхование,2026-04-13 06:57:13,2027-04-13 06:57:13,12301
63,710,РЕСО-Гарантия,2025-07-03 21:37:59,2026-07-03 21:37:59,19226
64,914,Росгосстрах,2024-09-20 12:08:00,2025-09-20 12:08:00,20985
65,914,Росгосстрах,2025-09-20 12:08:00,2026-09-20 12:08:00,10124
66,533,Т-Страхование,2026-02-06 18:28:58,2027-02-06 18:28:58,19342
67,880,Т-Страхование,2025-03-11 10:56:32,2026-03-11 10:56:32,23025
68,880,Т-Страхование,2026-03-11 10:56:32,2027-03-11 10:56:32,8728
69,384,Ингосстрах,2025-07-25 22:24:18,2026-07-25 22:24:18,21359
70,518,Т-Страхование,2025-02-24 10:56:47,2026-02-24 10:56:47,5806
71,518,Ингосстрах,2026-02-24 10:56:47,2027-02-24 10:56:47,18976
72,353,Росгосстрах,2025-05-13 21:09:41,2026-05-13 21:09:41,17029
73,1094,АльфаСтрахование,2025-06-10 03:47:09,2026-06-10 03:47:09,14083
74,723,РЕСО-Гарантия,2024-06-27 14:16:21,2025-06-27 14:16:21,11876
75,723,АльфаСтрахование,2025-06-27 14:16:21,2026-06-27 14:16:21,17708
76,580,РЕСО-Гарантия,2025-10-02 00:19:29,2026-10-02 00:19:29,12502
77,63,Ингосстрах,2025-07-15 20:35:08,2026-07-15 20:35:08,22914
78,54,АльфаСтрахование,2025-07-25 07:04:55,2026-07-25 07:04:55,18365
79,803,Росгосстрах,2022-11-01 02:51:44,2023-11-01 02:51:44,18506
80,803,Т-Страхование,2023-11-01 02:51:44,2024-10-31 02:51:44,16918
81,803,Ингосстрах,2024-10-31 02:51:44,2025-10-31 02:51:44,18315
82,803,ВСК,2025-10-31 02:51:44,2026-10-31 02:51:44,10481
83,1037,Т-Страхование,2026-05-13 08:24:08,2027-05-13 08:24:08,11295
84,822,Росгосстрах,2026-05-20 08:01:06,2027-05-20 08:01:06,23758
85,783,Росгосстрах,2026-04-06 07:29:38,2027-04-06 07:29:38,12657
86,172,Росгосстрах,2024-06-17 04:35:26,2025-06-17 04:35:26,5698
87,172,Т-Страхование,2025-06-17 04:35:26,2026-06-17 04:35:26,22808
88,1075,Росгосстрах,2026-04-27 00:33:36,2027-04-27 00:33:36,9985
89,590,Росгосстрах,2026-04-18 23:59:59,2027-04-18 23:59:59,17287
90,1026,ВСК,2025-09-01 10:24:14,2026-09-01 10:24:14,8786
91,798,Т-Страхование,2025-10-30 07:35:37,2026-10-30 07:35:37,14251
92,471,АльфаСтрахование,2025-06-10 03:35:25,2026-06-10 03:35:25,18840
93,532,АльфаСтрахование,2024-06-09 10:26:42,2025-06-09 10:26:42,16408
94,532,РЕСО-Гарантия,2025-06-09 10:26:42,2026-06-09 10:26:42,7817
95,421,АльфаСтрахование,2025-04-10 19:40:16,2026-04-10 19:40:16,17581
96,421,РЕСО-Гарантия,2026-04-10 19:40:16,2027-04-10 19:40:16,6187
97,1128,Т-Страхование,2026-04-27 08:11:18,2027-04-27 08:11:18,19581
98,703,Т-Страхование,2025-08-13 02:31:33,2026-08-13 02:31:33,14780
99,1067,Т-Страхование,2025-12-29 23:09:20,2026-12-29 23:09:20,16727
100,652,Т-Страхование,2025-12-13 20:20:05,2026-12-13 20:20:05,5143
101,328,РЕСО-Гарантия,2025-06-02 13:05:19,2026-06-02 13:05:19,21879
102,556,РЕСО-Гарантия,2025-06-05 00:05:59,2026-06-05 00:05:59,9410
103,1014,Ингосстрах,2024-04-29 21:58:06,2025-04-29 21:58:06,23234
104,1014,РЕСО-Гарантия,2025-04-29 21:58:06,2026-04-29 21:58:06,5204
105,1138,Росгосстрах,2026-03-13 19:50:45,2027-03-13 19:50:45,8442
106,472,АльфаСтрахование,2025-09-17 23:50:15,2026-09-17 23:50:15,16480
107,177,АльфаСтрахование,2026-01-07 23:53:05,2027-01-07 23:53:05,10396
108,1041,Т-Страхование,2025-05-15 22:04:32,2026-05-15 22:04:32,19838
109,1044,Т-Страхование,2025-11-22 22:37:27,2026-11-22 22:37:27,5701
110,174,ВСК,2026-03-08 21:38:43,2027-03-08 21:38:43,12787
111,416,РЕСО-Гарантия,2026-02-18 03:59:48,2027-02-18 03:59:48,20585
112,334,ВСК,2025-02-26 10:28:09,2026-02-26 10:28:09,23892
113,334,Ингосстрах,2026-02-26 10:28:09,2027-02-26 10:28:09,17967
114,966,Ингосстрах,2025-04-28 16:02:35,2026-04-28 16:02:35,11218
115,237,Ингосстрах,2025-01-10 09:43:22,2026-01-10 09:43:22,16900
116,237,Т-Страхование,2026-01-10 09:43:22,2027-01-10 09:43:22,15092
117,975,ВСК,2024-04-27 05:06:31,2025-04-27 05:06:31,21274
118,975,Росгосстрах,2025-04-27 05:06:31,2026-04-27 05:06:31,18668
119,79,Росгосстрах,2025-03-15 02:16:46,2026-03-15 02:16:46,5916
120,79,Ингосстрах,2026-03-15 02:16:46,2027-03-15 02:16:46,6569
121,996,АльфаСтрахование,2025-05-16 04:40:44,2026-05-16 04:40:44,15553
122,573,Ингосстрах,2023-09-15 14:02:11,2024-09-14 14:02:11,17947
123,573,РЕСО-Гарантия,2024-09-14 14:02:11,2025-09-14 14:02:11,21452
124,573,Росгосстрах,2025-09-14 14:02:11,2026-09-14 14:02:11,22251
125,770,Ингосстрах,2025-02-02 00:05:45,2026-02-02 00:05:45,14017
126,770,Ингосстрах,2026-02-02 00:05:45,2027-02-02 00:05:45,17903
127,418,ВСК,2026-02-06 20:45:16,2027-02-06 20:45:16,24312
128,293,РЕСО-Гарантия,2025-08-25 06:20:24,2026-08-25 06:20:24,23296
129,514,Росгосстрах,2026-05-23 10:15:45,2027-05-23 10:15:45,8973
130,881,Росгосстрах,2026-04-14 06:50:47,2027-04-14 06:50:47,23234
131,989,Ингосстрах,2025-09-26 06:01:37,2026-09-26 06:01:37,13509
132,939,АльфаСтрахование,2026-04-18 02:34:00,2027-04-18 02:34:00,20299
133,506,Ингосстрах,2024-11-16 07:05:01,2025-11-16 07:05:01,19114
134,506,РЕСО-Гарантия,2025-11-16 07:05:01,2026-11-16 07:05:01,18460
135,144,АльфаСтрахование,2025-05-15 14:42:30,2026-05-15 14:42:30,13067
136,1029,РЕСО-Гарантия,2026-04-04 00:25:24,2027-04-04 00:25:24,24273
137,1104,ВСК,2025-05-04 08:23:58,2026-05-04 08:23:58,16204
138,877,Т-Страхование,2025-11-16 02:38:15,2026-11-16 02:38:15,14637
139,338,РЕСО-Гарантия,2025-07-24 02:51:38,2026-07-24 02:51:38,20755
140,735,Т-Страхование,2025-05-16 14:16:58,2026-05-16 14:16:58,24363
141,164,ВСК,2025-09-07 09:56:08,2026-09-07 09:56:08,14388
142,137,ВСК,2025-11-20 02:35:23,2026-11-20 02:35:23,6046
143,1054,РЕСО-Гарантия,2025-07-28 11:32:43,2026-07-28 11:32:43,7329
144,194,РЕСО-Гарантия,2025-03-10 11:03:43,2026-03-10 11:03:43,15741
145,194,Ингосстрах,2026-03-10 11:03:43,2027-03-10 11:03:43,13868
146,1154,РЕСО-Гарантия,2025-07-15 15:38:59,2026-07-15 15:38:59,9462
147,792,Т-Страхование,2026-05-15 21:01:16,2027-05-15 21:01:16,14565
148,1175,ВСК,2026-04-08 13:42:32,2027-04-08 13:42:32,20927
149,104,Росгосстрах,2024-08-09 22:17:37,2025-08-09 22:17:37,6015
150,104,РЕСО-Гарантия,2025-08-09 22:17:37,2026-08-09 22:17:37,23127
151,582,ВСК,2023-09-21 23:50:41,2024-09-20 23:50:41,17613
152,582,Т-Страхование,2024-09-20 23:50:41,2025-09-20 23:50:41,16277
153,582,ВСК,2025-09-20 23:50:41,2026-09-20 23:50:41,20117
154,562,ВСК,2025-05-17 20:53:40,2026-05-17 20:53:40,14609
155,562,Ингосстрах,2026-05-17 20:53:40,2027-05-17 20:53:40,10681
156,628,РЕСО-Гарантия,2026-04-02 20:21:34,2027-04-02 20:21:34,5669
157,1133,Т-Страхование,2025-10-20 16:45:32,2026-10-20 16:45:32,8293
158,1145,АльфаСтрахование,2025-05-20 18:01:08,2026-05-20 18:01:08,20779
159,872,РЕСО-Гарантия,2025-05-07 07:53:13,2026-05-07 07:53:13,19032
160,1033,Т-Страхование,2026-01-06 00:41:24,2027-01-06 00:41:24,16225
161,545,РЕСО-Гарантия,2025-10-17 00:19:59,2026-10-17 00:19:59,18433
162,642,Росгосстрах,2025-09-23 23:39:15,2026-09-23 23:39:15,5694
163,868,Т-Страхование,2024-06-08 07:23:46,2025-06-08 07:23:46,23940
164,868,Ингосстрах,2025-06-08 07:23:46,2026-06-08 07:23:46,10272
165,707,АльфаСтрахование,2025-07-24 18:43:49,2026-07-24 18:43:49,11824
166,923,АльфаСтрахование,2024-08-28 04:35:35,2025-08-28 04:35:35,14045
167,923,РЕСО-Гарантия,2025-08-28 04:35:35,2026-08-28 04:35:35,12831
168,445,Росгосстрах,2026-01-06 20:33:49,2027-01-06 20:33:49,14656
169,53,ВСК,2025-07-31 07:43:48,2026-07-31 07:43:48,6724
170,702,Ингосстрах,2026-03-23 20:00:32,2027-03-23 20:00:32,8895
171,1022,РЕСО-Гарантия,2024-11-30 23:15:55,2025-11-30 23:15:55,19358
172,1022,Ингосстрах,2025-11-30 23:15:55,2026-11-30 23:15:55,22282
173,757,АльфаСтрахование,2025-04-08 19:33:48,2026-04-08 19:33:48,20816
174,757,Росгосстрах,2026-04-08 19:33:48,2027-04-08 19:33:48,7726
175,960,Росгосстрах,2025-05-10 22:54:11,2026-05-10 22:54:11,13824
176,637,АльфаСтрахование,2025-11-12 10:45:45,2026-11-12 10:45:45,12190
177,298,Росгосстрах,2025-02-09 06:11:54,2026-02-09 06:11:54,7284
178,298,Росгосстрах,2026-02-09 06:11:54,2027-02-09 06:11:54,9594
179,988,АльфаСтрахование,2024-12-28 09:01:29,2025-12-28 09:01:29,22627
180,988,Росгосстрах,2025-12-28 09:01:29,2026-12-28 09:01:29,15484
181,748,РЕСО-Гарантия,2025-05-31 07:22:21,2026-05-31 07:22:21,8289
182,719,Росгосстрах,2025-09-05 06:00:38,2026-09-05 06:00:38,22025
183,120,АльфаСтрахование,2023-10-02 08:04:33,2024-10-01 08:04:33,13553
184,120,Ингосстрах,2024-10-01 08:04:33,2025-10-01 08:04:33,18598
185,120,РЕСО-Гарантия,2025-10-01 08:04:33,2026-10-01 08:04:33,22208
186,994,РЕСО-Гарантия,2025-06-28 18:00:13,2026-06-28 18:00:13,14898
187,315,РЕСО-Гарантия,2025-11-04 17:42:13,2026-11-04 17:42:13,13994
188,970,Ингосстрах,2026-04-10 03:14:49,2027-04-10 03:14:49,22409
189,311,ВСК,2024-12-09 22:15:17,2025-12-09 22:15:17,22557
190,311,Росгосстрах,2025-12-09 22:15:17,2026-12-09 22:15:17,9797
191,828,Ингосстрах,2025-11-22 00:22:14,2026-11-22 00:22:14,22343
192,542,Т-Страхование,2026-05-10 04:31:12,2027-05-10 04:31:12,11032
193,714,Т-Страхование,2025-07-28 04:07:22,2026-07-28 04:07:22,6052
194,626,Ингосстрах,2025-01-18 08:27:29,2026-01-18 08:27:29,17598
195,626,АльфаСтрахование,2026-01-18 08:27:29,2027-01-18 08:27:29,14206
196,559,Ингосстрах,2025-02-13 15:02:41,2026-02-13 15:02:41,5516
197,559,ВСК,2026-02-13 15:02:41,2027-02-13 15:02:41,6305
198,1132,АльфаСтрахование,2026-01-28 22:58:17,2027-01-28 22:58:17,19832
199,921,РЕСО-Гарантия,2025-06-04 23:31:08,2026-06-04 23:31:08,12107
200,846,Т-Страхование,2025-10-12 06:42:18,2026-10-12 06:42:18,9595
201,108,ВСК,2022-04-29 11:32:37,2023-04-29 11:32:37,6740
202,108,Т-Страхование,2023-04-29 11:32:37,2024-04-28 11:32:37,15686
203,108,Т-Страхование,2024-04-28 11:32:37,2025-04-28 11:32:37,17647
204,108,Росгосстрах,2025-04-28 11:32:37,2026-04-28 11:32:37,14411
205,108,АльфаСтрахование,2026-04-28 11:32:37,2027-04-28 11:32:37,19799
206,395,АльфаСтрахование,2025-07-11 17:28:12,2026-07-11 17:28:12,14277
207,911,Росгосстрах,2026-01-02 00:15:37,2027-01-02 00:15:37,22312
208,274,ВСК,2025-05-19 20:30:26,2026-05-19 20:30:26,23507
209,621,РЕСО-Гарантия,2025-05-04 01:12:18,2026-05-04 01:12:18,10811
210,306,Росгосстрах,2025-05-06 20:38:37,2026-05-06 20:38:37,14329
211,306,РЕСО-Гарантия,2026-05-06 20:38:37,2027-05-06 20:38:37,14595
212,584,РЕСО-Гарантия,2022-11-12 02:38:42,2023-11-12 02:38:42,18717
213,584,Т-Страхование,2023-11-12 02:38:42,2024-11-11 02:38:42,9955
214,584,ВСК,2024-11-11 02:38:42,2025-11-11 02:38:42,7393
215,584,Ингосстрах,2025-11-11 02:38:42,2026-11-11 02:38:42,10208
216,1016,Т-Страхование,2026-05-30 17:07:11,2027-05-30 17:07:11,20290
217,917,ВСК,2025-10-14 21:16:16,2026-10-14 21:16:16,8897
218,226,ВСК,2026-05-27 09:25:14,2027-05-27 09:25:14,13063
219,660,Росгосстрах,2025-08-19 11:11:11,2026-08-19 11:11:11,9053
220,675,Росгосстрах,2026-03-30 13:29:19,2027-03-30 13:29:19,18677
221,487,ВСК,2025-08-16 04:22:08,2026-08-16 04:22:08,6505
222,1099,Росгосстрах,2024-06-07 15:45:26,2025-06-07 15:45:26,19033
223,1099,Росгосстрах,2025-06-07 15:45:26,2026-06-07 15:45:26,15746
224,576,АльфаСтрахование,2024-06-28 08:44:04,2025-06-28 08:44:04,14687
225,576,АльфаСтрахование,2025-06-28 08:44:04,2026-06-28 08:44:04,19853
226,103,АльфаСтрахование,2024-08-14 21:30:16,2025-08-14 21:30:16,20140
227,103,Росгосстрах,2025-08-14 21:30:16,2026-08-14 21:30:16,6406
228,857,Росгосстрах,2025-05-22 12:05:04,2026-05-22 12:05:04,12611
229,991,ВСК,2025-08-15 23:13:01,2026-08-15 23:13:01,7005
230,608,Ингосстрах,2025-07-18 06:52:06,2026-07-18 06:52:06,18673
231,598,Т-Страхование,2024-12-29 07:28:08,2025-12-29 07:28:08,14695
232,598,РЕСО-Гарантия,2025-12-29 07:28:08,2026-12-29 07:28:08,20855
233,1096,Росгосстрах,2025-08-15 01:15:37,2026-08-15 01:15:37,22897
234,1001,Т-Страхование,2026-03-05 23:15:20,2027-03-05 23:15:20,17811
235,834,АльфаСтрахование,2025-09-07 13:12:43,2026-09-07 13:12:43,7952
236,973,Ингосстрах,2025-06-02 01:15:18,2026-06-02 01:15:18,11186
237,605,Росгосстрах,2026-05-06 12:19:43,2027-05-06 12:19:43,22171
238,5,РЕСО-Гарантия,2026-03-22 06:57:39,2027-03-22 06:57:39,16010
239,1101,Ингосстрах,2025-04-27 05:42:11,2026-04-27 05:42:11,13824
240,1101,Ингосстрах,2026-04-27 05:42:11,2027-04-27 05:42:11,20018
241,940,Т-Страхование,2025-02-03 05:18:03,2026-02-03 05:18:03,15065
242,940,Т-Страхование,2026-02-03 05:18:03,2027-02-03 05:18:03,18908
243,3,Росгосстрах,2026-05-13 05:07:57,2027-05-13 05:07:57,5938
244,138,Росгосстрах,2025-12-24 21:44:06,2026-12-24 21:44:06,13584
245,552,АльфаСтрахование,2024-04-19 22:59:56,2025-04-19 22:59:56,6367
246,552,ВСК,2025-04-19 22:59:56,2026-04-19 22:59:56,5108
247,552,Т-Страхование,2026-04-19 22:59:56,2027-04-19 22:59:56,14853
248,908,АльфаСтрахование,2023-07-16 12:37:29,2024-07-15 12:37:29,8661
249,908,Росгосстрах,2024-07-15 12:37:29,2025-07-15 12:37:29,8354
250,908,РЕСО-Гарантия,2025-07-15 12:37:29,2026-07-15 12:37:29,22141
251,154,ВСК,2026-05-23 10:37:42,2027-05-23 10:37:42,12333
252,1194,Росгосстрах,2026-03-28 07:04:13,2027-03-28 07:04:13,17276
253,845,ВСК,2025-04-09 03:02:33,2026-04-09 03:02:33,16149
254,845,ВСК,2026-04-09 03:02:33,2027-04-09 03:02:33,15574
255,593,ВСК,2024-08-13 00:54:55,2025-08-13 00:54:55,23801
256,593,ВСК,2025-08-13 00:54:55,2026-08-13 00:54:55,14655
257,808,Росгосстрах,2026-02-05 02:49:27,2027-02-05 02:49:27,14811
258,433,Росгосстрах,2025-05-07 23:14:35,2026-05-07 23:14:35,16901
259,539,Т-Страхование,2025-05-16 19:55:13,2026-05-16 19:55:13,23990
260,1017,АльфаСтрахование,2026-03-30 14:07:57,2027-03-30 14:07:57,18742
261,1038,Ингосстрах,2026-04-22 21:41:48,2027-04-22 21:41:48,22903
262,1059,Ингосстрах,2025-11-01 19:41:27,2026-11-01 19:41:27,24304
263,1151,ВСК,2025-03-20 22:46:56,2026-03-20 22:46:56,6095
264,1151,АльфаСтрахование,2026-03-20 22:46:56,2027-03-20 22:46:56,11564
265,1135,РЕСО-Гарантия,2026-01-16 23:10:21,2027-01-16 23:10:21,11098
266,148,РЕСО-Гарантия,2026-05-30 13:03:56,2027-05-30 13:03:56,12303
267,577,Росгосстрах,2025-04-08 23:04:09,2026-04-08 23:04:09,16432
268,577,Росгосстрах,2026-04-08 23:04:09,2027-04-08 23:04:09,15844
269,694,Т-Страхование,2025-11-14 11:06:29,2026-11-14 11:06:29,10254
270,990,АльфаСтрахование,2025-08-18 17:24:59,2026-08-18 17:24:59,13411
271,77,Ингосстрах,2024-10-06 07:12:42,2025-10-06 07:12:42,19220
272,77,АльфаСтрахование,2025-10-06 07:12:42,2026-10-06 07:12:42,12130
273,8,ВСК,2025-07-27 12:54:29,2026-07-27 12:54:29,24005
274,915,АльфаСтрахование,2026-01-20 00:14:01,2027-01-20 00:14:01,9329
275,259,ВСК,2024-07-18 22:50:06,2025-07-18 22:50:06,8873
276,259,Т-Страхование,2025-07-18 22:50:06,2026-07-18 22:50:06,8692
277,509,Т-Страхование,2025-07-20 06:37:42,2026-07-20 06:37:42,14074
278,346,АльфаСтрахование,2024-05-01 23:13:45,2025-05-01 23:13:45,14750
279,346,Ингосстрах,2025-05-01 23:13:45,2026-05-01 23:13:45,5732
280,444,Т-Страхование,2022-06-26 16:14:43,2023-06-26 16:14:43,23424
281,444,Росгосстрах,2023-06-26 16:14:43,2024-06-25 16:14:43,17811
282,444,Росгосстрах,2024-06-25 16:14:43,2025-06-25 16:14:43,9604
283,444,ВСК,2025-06-25 16:14:43,2026-06-25 16:14:43,23982
284,797,ВСК,2026-05-14 01:30:13,2027-05-14 01:30:13,23227
285,589,АльфаСтрахование,2026-05-28 21:12:58,2027-05-28 21:12:58,19284
286,1162,АльфаСтрахование,2025-09-26 12:33:55,2026-09-26 12:33:55,23536
287,1121,РЕСО-Гарантия,2025-06-25 14:29:50,2026-06-25 14:29:50,16227
288,640,ВСК,2025-10-19 22:36:01,2026-10-19 22:36:01,8905
289,465,РЕСО-Гарантия,2025-01-07 01:23:08,2026-01-07 01:23:08,16596
290,465,Росгосстрах,2026-01-07 01:23:08,2027-01-07 01:23:08,8726
291,571,АльфаСтрахование,2023-04-17 22:21:01,2024-04-16 22:21:01,15789
292,571,Росгосстрах,2024-04-16 22:21:01,2025-04-16 22:21:01,8833
293,571,Т-Страхование,2025-04-16 22:21:01,2026-04-16 22:21:01,23513
294,571,РЕСО-Гарантия,2026-04-16 22:21:01,2027-04-16 22:21:01,9355
295,827,Ингосстрах,2025-06-19 20:37:12,2026-06-19 20:37:12,9242
296,709,Росгосстрах,2024-06-10 10:04:57,2025-06-10 10:04:57,18834
297,709,ВСК,2025-06-10 10:04:57,2026-06-10 10:04:57,19891
298,178,ВСК,2024-09-25 20:38:35,2025-09-25 20:38:35,14390
299,178,ВСК,2025-09-25 20:38:35,2026-09-25 20:38:35,12786
300,698,Т-Страхование,2026-03-10 02:27:30,2027-03-10 02:27:30,18922
301,630,Т-Страхование,2025-03-22 02:19:52,2026-03-22 02:19:52,19651
302,630,Т-Страхование,2026-03-22 02:19:52,2027-03-22 02:19:52,18350
303,203,ВСК,2025-07-20 13:16:20,2026-07-20 13:16:20,18972
304,806,Росгосстрах,2025-05-06 15:45:40,2026-05-06 15:45:40,11417
305,806,Т-Страхование,2026-05-06 15:45:40,2027-05-06 15:45:40,7203
306,535,Ингосстрах,2024-03-09 20:01:13,2025-03-09 20:01:13,17112
307,535,Росгосстрах,2025-03-09 20:01:13,2026-03-09 20:01:13,21680
308,535,РЕСО-Гарантия,2026-03-09 20:01:13,2027-03-09 20:01:13,14596
309,696,Ингосстрах,2026-01-30 18:29:54,2027-01-30 18:29:54,22446
310,1113,Ингосстрах,2026-05-24 15:19:18,2027-05-24 15:19:18,5387
311,784,ВСК,2026-05-24 18:12:41,2027-05-24 18:12:41,17091
312,1048,Ингосстрах,2024-07-01 09:13:29,2025-07-01 09:13:29,17858
313,1048,АльфаСтрахование,2025-07-01 09:13:29,2026-07-01 09:13:29,13181
314,690,Т-Страхование,2025-05-26 22:47:42,2026-05-26 22:47:42,16841
315,690,РЕСО-Гарантия,2026-05-26 22:47:42,2027-05-26 22:47:42,9967
316,986,Росгосстрах,2024-10-29 03:13:50,2025-10-29 03:13:50,8544
317,986,РЕСО-Гарантия,2025-10-29 03:13:50,2026-10-29 03:13:50,24870
318,180,РЕСО-Гарантия,2025-04-22 05:38:32,2026-04-22 05:38:32,10277
319,180,АльфаСтрахование,2026-04-22 05:38:32,2027-04-22 05:38:32,13204
320,276,Росгосстрах,2025-02-13 03:02:29,2026-02-13 03:02:29,14544
321,276,РЕСО-Гарантия,2026-02-13 03:02:29,2027-02-13 03:02:29,18854
322,185,РЕСО-Гарантия,2024-05-12 10:53:35,2025-05-12 10:53:35,15687
323,185,Т-Страхование,2025-05-12 10:53:35,2026-05-12 10:53:35,14571
324,946,АльфаСтрахование,2025-03-18 17:28:05,2026-03-18 17:28:05,11518
325,946,Росгосстрах,2026-03-18 17:28:05,2027-03-18 17:28:05,23605
326,869,РЕСО-Гарантия,2024-06-17 08:16:19,2025-06-17 08:16:19,22592
327,869,РЕСО-Гарантия,2025-06-17 08:16:19,2026-06-17 08:16:19,9490
328,565,ВСК,2025-04-10 19:24:00,2026-04-10 19:24:00,24358
329,565,ВСК,2026-04-10 19:24:00,2027-04-10 19:24:00,7410
330,33,ВСК,2025-06-24 20:37:09,2026-06-24 20:37:09,10610
331,20,ВСК,2025-08-06 11:42:56,2026-08-06 11:42:56,19182
332,788,АльфаСтрахование,2026-01-26 18:45:43,2027-01-26 18:45:43,12497
333,865,Росгосстрах,2025-01-15 20:44:51,2026-01-15 20:44:51,6822
334,865,РЕСО-Гарантия,2026-01-15 20:44:51,2027-01-15 20:44:51,11915
335,205,Ингосстрах,2025-06-07 17:36:15,2026-06-07 17:36:15,24748
